rating,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6
5,-1.436582212,-2.600686427,-1.182926895,0.452837103,0.249860352,0.670270443
5,-1.388156427,-2.624278753,-1.223632676,0.624572824,0.01778202,-0.171352137
5,-1.392054338,-2.770071218,-0.993819728,0.031244908,-0.121036098,0.408089411
1,-1.454075007,-2.659918389,-0.990983836,-0.037558248,0.533516272,2.391504753
5,-1.420499519,-2.674936838,-1.109480754,0.209233598,0.150830738,0.690625261
2,-1.432260241,-2.615852564,-1.141043135,0.407483449,0.337608307,1.23850096
5,-1.376761036,-2.760026612,-1.050423981,0.041237084,-0.051095979,0.223662576
1,-1.417125234,-2.749255755,-0.901240452,-0.194364332,0.284751095,2.030947345
5,-1.34810091,-2.756563126,-1.103166062,0.119537729,-0.075907664,-0.135309087
5,-1.418830002,-2.692260041,-1.0882299,0.244549556,0.029766374,0.548795245
5,-1.420209144,-2.762944394,-0.906223561,-0.105296893,0.02255824,0.601742172
2,-1.363674323,-2.831830252,-0.905800537,-0.294899396,0.028903214,1.158045156
1,-1.427820212,-2.695357237,-1.026387081,0.112485892,0.279953692,1.651654566
5,-1.465195458,-2.599803987,-1.101449089,0.330336209,0.349463698,0.858794533
1,-1.406347281,-2.618470944,-1.136830478,0.452849829,0.317527192,1.212796313
1,-1.422377005,-2.608136222,-1.153631784,0.392926044,0.414998312,1.547022154
1,-1.378201264,-2.747475758,-0.981487138,-0.100406025,0.246872957,1.531085637
5,-1.357142814,-2.837170697,-0.932514545,-0.18760164,-0.217862415,0.322462899
5,-1.360983118,-2.841832946,-0.964568068,-0.175566495,-0.213229211,0.204362134
2,-1.424796552,-2.758343724,-0.919349965,-0.148763952,0.166609173,1.825867232
5,-1.40072533,-2.630654533,-1.242804012,0.61694633,0.012233667,-0.106420643
5,-1.376344461,-2.756114474,-1.044908764,0.047916513,-0.055030114,0.345112728
5,-1.365581703,-2.772211434,-1.065574838,0.105872666,-0.154109841,-0.015632133
1,-1.434586851,-2.614872154,-1.133049805,0.380245191,0.398800844,1.582148077
5,-1.419738251,-2.868861772,-0.753782988,-0.710944697,0.036614402,1.920319996
2,-1.402285799,-2.701912824,-1.081135642,0.235239046,0.130392298,0.989504238
1,-1.458146916,-2.60641391,-1.107983943,0.303682241,0.477676292,2.04244949
2,-1.418510175,-2.710871899,-1.041578201,0.199556748,0.099426449,1.143486511
5,-1.370916799,-2.774497315,-1.036584987,0.10471813,-0.184410766,0.097557172
5,-1.447199446,-2.719556639,-0.96779121,-0.195365407,0.251980662,1.774303512
1,-1.435125061,-2.702510166,-1.020272253,0.116989326,0.233636913,1.740900484
5,-1.394606914,-2.709590327,-1.128662469,0.358856343,-0.123785432,0.075958579
1,-1.485697264,-2.678043018,-0.885122622,-0.109449228,0.500516623,2.4431182
5,-1.361776685,-2.765082213,-1.050367149,0.107082789,-0.157720982,0.173823301
5,-1.444595599,-2.792924968,-0.837002194,-0.490940362,0.162192663,2.058583676
1,-1.404990237,-2.693737922,-1.044139856,0.167629416,0.23138388,1.469596292
1,-1.402819551,-2.690272001,-1.064937057,0.178524914,0.244184948,1.491753707
5,-1.410399282,-2.685660113,-1.100171904,0.267308655,0.024126169,0.635186227
5,-1.377517422,-2.812596437,-0.930154208,-0.271400593,-0.054806101,0.913765427
1,-1.395264422,-2.689238736,-1.08925638,0.201890946,0.250704923,1.336454854
5,-1.345356045,-2.75256008,-1.103432238,0.11842872,-0.078813869,-0.004099756
1,-1.431511908,-2.756367588,-0.830805352,-0.254725949,0.291308551,2.029070787
5,-1.375706379,-2.69081373,-1.169775781,0.375050038,-0.043788159,0.037561601
1,-1.41912423,-2.68557178,-1.058895672,0.13461593,0.305963871,1.712549129
4,-1.418870621,-2.68272695,-1.091238506,0.211386065,0.128237671,1.004371195
1,-1.437328462,-2.707727035,-0.988555048,-0.026331125,0.633926428,2.209352625
5,-1.412221945,-2.608770049,-1.243623733,0.548475917,0.151619403,0.334289096
3,-1.409979163,-2.615671264,-1.219376137,0.512415524,0.227876828,0.767470219
4,-1.346988597,-2.835785289,-0.951203845,-0.172881943,-0.1820628,0.533352078
5,-1.385480443,-2.765795425,-1.043579357,0.056608871,-0.102831143,0.370927423
5,-1.357522131,-2.846343314,-0.966614848,-0.147578094,-0.259477957,0.149745754
5,-1.416002179,-2.708251345,-1.094846389,0.302522739,-0.084669411,0.370183804
1,-1.406442107,-2.70413607,-1.034892435,0.204258379,0.151714326,1.407271688
5,-1.372682498,-2.708209978,-1.159139222,0.413794182,-0.14920237,-0.210129194
5,-1.353827047,-2.844568287,-0.9739168,-0.146536738,-0.260184682,0.176557072
5,-1.366144305,-2.771390814,-1.047130944,0.118631792,-0.188605142,0.133444932
1,-1.435803637,-2.741621838,-0.906432144,-0.247250538,0.344478103,2.473835002
5,-1.347407458,-2.834389735,-0.997657047,-0.146059605,-0.206138991,0.188785632
5,-1.33246518,-2.766733557,-1.099625164,0.185536684,-0.206404909,-0.251217122
5,-1.348090141,-2.758730872,-1.078952428,0.138342519,-0.140143963,0.034613699
5,-1.478527543,-2.73627973,-0.855180611,-0.29087314,0.237759741,1.842788401
1,-1.391759909,-2.771432939,-0.954340391,-0.064657619,0.096160107,1.534999251
5,-1.380694352,-2.737284697,-1.080672883,0.017623854,0.058277701,0.645713551
5,-1.371236921,-2.687538913,-1.168928927,0.387067883,-0.055491865,0.110743487
3,-1.389326286,-2.68403344,-1.132942446,0.27161463,0.140562129,0.825804899
4,-1.392635112,-2.714379138,-1.133218862,0.356223622,-0.094512312,0.257907553
5,-1.347907918,-2.749835125,-1.095988195,0.12803317,-0.089230831,0.14104979
5,-1.392203409,-2.716558419,-1.155759618,0.388216513,-0.163846855,-0.037689382
5,-1.391201335,-2.702235197,-1.149370435,0.352266979,-0.077810272,0.099411351
5,-1.364268075,-2.750825295,-1.071399741,0.090006658,-0.076342478,0.374683942
3,-1.436326273,-2.613562829,-1.178088298,0.455925295,0.252690918,1.235448616
5,-1.367693447,-2.759766382,-1.082770772,0.096749117,-0.103775293,0.25783466
5,-1.403135468,-2.611492151,-1.240078864,0.588487133,0.083782672,0.327658399
4,-1.368026369,-2.814767434,-0.971566744,-0.259338641,-0.007037895,0.995172357
4,-1.404622066,-2.610460391,-1.24514788,0.559601069,0.162718247,0.592194332
5,-1.348134754,-2.778214447,-1.086229862,0.185441971,-0.26450888,-0.124533909
5,-1.38108418,-2.748987693,-1.065705898,0.049421472,-0.031960461,0.588687355
5,-1.329469988,-2.834703679,-1.023581672,-0.100821092,-0.24312045,-0.000571831
