rating,day_of_week,week_of_year,hour,month,yrs_to_review,lenDevResp,lenTitle,lenReview,ratings_per_yr_in_exist,app_rank_in_cat_per_yr_in_exist,BBB_complaints_per_yr_in_exist,BBB_complaints_per_BBB_review,len_review_per_len_title,Dev_resp_per_yr,DevLen_per_ReviewLen,ReviewLen_by_time_of_day,ReviewLen_by_day_of_week
5,2,49,22,12,8,0,10,634,82438.0,4.0,80.0,3.0,63.0,0.0,0.0,29.0,317.0
5,2,32,18,8,8,0,18,695,82438.0,4.0,80.0,3.0,39.0,0.0,0.0,39.0,348.0
5,6,12,3,3,7,0,34,615,94214.0,4.0,91.0,3.0,18.0,0.0,0.0,205.0,102.0
3,5,20,13,5,9,0,43,688,73278.0,3.0,71.0,3.0,16.0,0.0,0.0,53.0,138.0
5,4,23,16,6,7,0,27,630,94214.0,4.0,91.0,3.0,23.0,0.0,0.0,39.0,158.0
5,3,1,3,1,9,0,37,597,73278.0,3.0,71.0,3.0,16.0,0.0,0.0,199.0,199.0
4,5,22,20,6,6,0,43,650,109917.0,5.0,106.0,3.0,15.0,0.0,0.0,32.0,130.0
4,4,1,13,1,9,0,36,620,73278.0,3.0,71.0,3.0,17.0,0.0,0.0,48.0,155.0
5,2,33,5,8,7,0,9,596,94214.0,4.0,91.0,3.0,66.0,0.0,0.0,119.0,298.0
5,7,19,11,5,7,0,42,585,94214.0,4.0,91.0,3.0,14.0,0.0,0.0,53.0,84.0
5,1,25,17,6,6,0,15,639,109917.0,5.0,106.0,3.0,43.0,0.0,0.0,38.0,639.0
4,3,38,12,9,7,0,21,669,94214.0,4.0,91.0,3.0,32.0,0.0,0.0,56.0,223.0
5,3,17,5,4,8,0,24,633,82438.0,4.0,80.0,3.0,26.0,0.0,0.0,127.0,211.0
5,5,45,0,11,7,0,17,670,94214.0,4.0,91.0,3.0,39.0,0.0,0.0,inf,134.0
5,6,28,21,7,6,0,39,592,109917.0,5.0,106.0,3.0,15.0,0.0,0.0,28.0,99.0
4,5,34,12,8,6,0,10,680,109917.0,5.0,106.0,3.0,68.0,0.0,0.0,57.0,136.0
5,2,46,6,11,8,0,14,596,82438.0,4.0,80.0,3.0,43.0,0.0,0.0,99.0,298.0
1,3,22,22,6,9,0,59,754,73278.0,3.0,71.0,3.0,13.0,0.0,0.0,34.0,251.0
5,5,44,22,11,5,201,85,600,131900.0,6.0,128.0,3.0,7.0,40.0,0.0,27.0,120.0
4,3,18,20,5,9,0,13,693,73278.0,3.0,71.0,3.0,53.0,0.0,0.0,35.0,231.0
3,1,34,17,8,7,0,9,726,94214.0,4.0,91.0,3.0,81.0,0.0,0.0,43.0,726.0
5,7,36,0,9,7,0,33,595,94214.0,4.0,91.0,3.0,18.0,0.0,0.0,inf,85.0
5,7,21,6,5,7,0,17,624,94214.0,4.0,91.0,3.0,37.0,0.0,0.0,104.0,89.0
5,7,15,2,4,7,0,24,577,94214.0,4.0,91.0,3.0,24.0,0.0,0.0,288.0,82.0
5,5,2,6,1,9,0,35,612,73278.0,3.0,71.0,3.0,17.0,0.0,0.0,102.0,122.0
5,4,43,19,10,7,0,20,610,94214.0,4.0,91.0,3.0,30.0,0.0,0.0,32.0,152.0
1,5,27,9,7,8,0,10,854,82438.0,4.0,80.0,3.0,85.0,0.0,0.0,95.0,171.0
5,5,32,15,8,6,0,27,589,109917.0,5.0,106.0,3.0,22.0,0.0,0.0,39.0,118.0
1,6,52,15,12,6,0,13,802,109917.0,5.0,106.0,3.0,62.0,0.0,0.0,53.0,134.0
5,7,15,17,4,7,0,37,567,94214.0,4.0,91.0,3.0,15.0,0.0,0.0,33.0,81.0
5,4,45,10,11,6,0,31,604,109917.0,5.0,106.0,3.0,19.0,0.0,0.0,60.0,151.0
3,1,15,11,4,8,0,40,694,82438.0,4.0,80.0,3.0,17.0,0.0,0.0,63.0,694.0
5,3,3,21,1,9,0,25,568,73278.0,3.0,71.0,3.0,23.0,0.0,0.0,27.0,189.0
5,2,22,17,5,8,0,13,575,82438.0,4.0,80.0,3.0,44.0,0.0,0.0,34.0,288.0
5,6,52,13,12,7,0,39,572,94214.0,4.0,91.0,3.0,15.0,0.0,0.0,44.0,95.0
5,4,28,18,7,7,0,45,555,94214.0,4.0,91.0,3.0,12.0,0.0,0.0,31.0,139.0
5,1,9,11,2,7,0,21,591,94214.0,4.0,91.0,3.0,28.0,0.0,0.0,54.0,591.0
5,1,43,18,10,8,0,29,542,82438.0,4.0,80.0,3.0,19.0,0.0,0.0,30.0,542.0
1,3,23,17,6,9,0,8,806,73278.0,3.0,71.0,3.0,101.0,0.0,0.0,47.0,269.0
